gender,Title_MRS,Unit_Location_CAULFIELD,Unit_Location_CLAYTON,Class_ON-CAMPUS,fail,d_hd,hd,a1_ratio,a2_ratio,a3_ratio
1,0,0,1,1,0,1,1,0.933,0.7466666666666666,0.71
1,0,0,1,1,0,1,0,0.721,0.8,0.7152
0,0,0,1,1,0,1,0,0.9949999999999999,0.9333333333333333,0.7
1,0,0,1,1,0,0,0,0.9810000000000001,0.8113333333333334,0.7152
0,0,0,1,1,0,0,0,0.825,0.48333333333333334,0.5
0,0,0,1,1,0,1,1,0.9480000000000001,0.7813333333333333,0.7051999999999999
1,0,0,1,1,0,0,0,0.9359999999999999,0.7333333333333333,0.4752
1,0,0,1,1,0,0,0,1.0,0.76,0.71
1,0,0,1,1,0,1,0,0.9949999999999999,0.7866666666666667,0.7752
0,0,0,1,1,0,0,0,0.968,0.7799999999999999,0.8852
1,0,0,1,1,0,1,0,0.845,0.7466666666666666,0.91
0,0,0,1,1,0,0,0,0.8009999999999999,0.44666666666666666,0.6352
1,0,0,1,1,0,1,0,0.923,0.778,0.71
0,0,0,1,1,0,1,0,0.9869999999999999,0.9333333333333333,0.8
1,0,0,1,1,0,0,0,0.9119999999999999,0.62,0.6552
0,0,0,1,1,0,0,0,0.8160000000000001,0.7753333333333334,0.77
0,0,0,1,1,0,0,0,0.9970000000000001,0.8333333333333334,0.6652
1,0,0,1,1,1,0,0,0.8710000000000001,0.702,0.67
1,0,0,1,1,0,0,0,0.553,0.7246666666666666,0.94
1,0,0,1,1,0,1,0,0.916,0.8913333333333333,0.9152
1,0,0,1,1,0,1,0,0.9869999999999999,0.8133333333333332,0.56
0,0,0,1,1,0,1,0,0.975,0.8266666666666667,0.73
1,0,0,1,1,0,0,0,1.0,0.92,0.73
0,0,0,1,1,0,0,0,1.0,0.8333333333333334,0.7852
0,0,0,1,1,0,1,0,0.977,0.7799999999999999,0.81
1,0,0,1,1,0,0,0,0.9710000000000001,0.8333333333333334,0.68
1,0,0,1,1,0,1,0,0.992,0.7799999999999999,0.88
1,0,0,1,1,0,1,0,0.9800000000000001,0.8466666666666666,0.74
1,0,0,1,1,0,0,0,0.908,0.8333333333333334,0.97
0,0,0,1,1,0,1,0,0.985,0.6733333333333333,0.75
0,0,0,1,1,1,0,0,0.9890000000000001,0.8466666666666666,0.69
0,0,0,1,1,0,1,0,0.9480000000000001,0.9066666666666666,0.76
0,0,0,1,1,0,0,0,0.992,0.8333333333333334,0.6152000000000001
1,0,0,1,1,0,1,1,0.969,0.7933333333333333,0.79
0,0,0,1,1,0,1,0,0.977,0.88,0.7652
0,0,0,1,1,0,0,0,0.976,0.7579999999999999,0.8752
1,0,0,1,1,0,0,0,0.9650000000000001,0.8533333333333334,0.8952
1,0,0,1,1,0,1,1,0.9949999999999999,0.8466666666666666,0.68
0,0,0,1,1,0,1,1,0.9949999999999999,0.8333333333333334,0.7752
0,0,0,1,1,0,1,1,1.0,0.8466666666666666,0.75
1,0,0,1,1,0,1,0,0.9970000000000001,0.8333333333333334,0.8351999999999999
1,0,0,1,1,0,0,0,0.9869999999999999,0.7133333333333333,0.76
0,0,0,1,1,1,0,0,0.9970000000000001,0.88,0.66
0,0,0,1,1,0,1,1,0.921,0.978,0.86
0,0,0,1,1,0,1,0,0.9970000000000001,0.9333333333333333,0.73
0,0,0,1,1,0,0,0,1.0,0.7799999999999999,0.5852
1,0,0,1,1,1,0,0,0.549,0.422,0.6751999999999999
0,0,0,1,1,1,0,0,0.9970000000000001,0.8533333333333334,0.76
0,0,0,1,1,0,1,0,0.8880000000000001,0.56,0.8
1,0,0,1,1,0,0,0,0.959,0.7666666666666667,0.7
1,0,0,1,1,0,1,0,0.8390000000000001,0.8466666666666666,0.61
1,0,0,1,1,0,1,0,0.915,0.7666666666666667,0.75
1,0,0,1,1,0,1,0,1.0,0.88,0.72
1,0,0,1,1,0,1,0,0.9970000000000001,0.88,0.65
0,0,0,1,1,0,1,1,0.952,0.8666666666666667,0.7852
0,0,0,1,1,0,0,0,0.9949999999999999,0.62,0.82
1,0,0,1,1,0,0,0,0.488,0.602,0.65
1,0,0,1,1,0,0,0,0.9890000000000001,0.9666666666666667,0.69
0,0,0,1,1,0,1,0,0.9890000000000001,0.8333333333333334,0.7252
0,0,0,1,1,0,0,0,1.0,0.7446666666666667,0.7051999999999999
0,0,0,1,1,0,0,0,0.916,0.8333333333333334,0.76
1,0,0,1,1,0,0,0,0.9970000000000001,0.76,0.79
0,0,0,1,1,1,0,0,0.9970000000000001,0.88,0.74
0,1,0,1,1,0,0,0,0.9949999999999999,0.738,0.7552
1,0,0,1,1,0,0,0,0.397,0.6353333333333333,0.57
1,0,0,1,1,0,1,0,0.783,0.7733333333333333,0.74
1,0,0,1,1,0,1,1,0.9949999999999999,0.7579999999999999,0.8752
0,0,0,1,1,0,0,0,0.7929999999999999,0.5519999999999999,0.8351999999999999
1,0,0,1,1,0,0,0,0.969,0.8,0.7
1,0,0,1,1,0,1,1,0.764,0.9,0.7
1,0,0,1,1,0,0,0,0.9970000000000001,0.88,0.76
1,0,0,1,1,0,1,1,0.915,0.8766666666666667,0.77
1,0,0,1,1,0,1,0,0.984,0.8466666666666666,0.67
0,0,0,1,1,0,1,1,0.9730000000000001,0.822,0.8
0,0,0,1,1,0,1,1,0.968,0.77,0.84
1,0,0,1,1,0,1,0,0.8560000000000001,0.8333333333333334,0.8151999999999999
0,0,0,1,1,0,1,0,0.959,0.76,0.84
0,0,0,1,1,0,1,0,1.0,0.8733333333333333,0.8552
0,0,0,1,1,0,1,0,0.9970000000000001,0.86,0.73
0,0,0,1,1,0,0,0,0.728,0.8,0.72
0,0,0,1,1,0,1,0,1.0,0.8133333333333332,0.72
1,0,0,1,1,0,0,0,0.9949999999999999,0.8466666666666666,0.63
1,0,0,1,1,0,1,0,0.968,0.9133333333333333,0.7852
