Student_ID,Title,Unit_Location,Class,assignment1,assignment2,assignment3,final
31334733,MR,CLAYTON,ON-CAMPUS,9.33,11.2,17.75,81.78
32028725,MR,CLAYTON,ON-CAMPUS,7.21,12,17.88,71.34
31070272,MS,CLAYTON,ON-CAMPUS,9.95,14,17.5,70.2
30268281,MR,CLAYTON,ON-CAMPUS,9.81,12.17,17.88,59.86
31011195,MS,CLAYTON,ON-CAMPUS,8.25,7.25,12.5,59.625
31265294,MS,CLAYTON,ON-CAMPUS,9.48,11.72,17.63,86.455
29966981,MR,CLAYTON,ON-CAMPUS,9.36,11,11.88,61.615
30155665,MR,CLAYTON,ON-CAMPUS,10,11.4,17.75,68.4
30701023,MR,CLAYTON,ON-CAMPUS,9.95,11.8,19.38,75.63
30385288,MS,CLAYTON,ON-CAMPUS,9.68,11.7,22.13,66.01
29945976,MR,CLAYTON,ON-CAMPUS,8.45,11.2,22.75,71.15
31207081,MS,CLAYTON,ON-CAMPUS,8.01,6.7,15.88,50.715
30813816,MR,CLAYTON,ON-CAMPUS,9.23,11.67,17.75,76.025
31198902,MS,CLAYTON,ON-CAMPUS,9.87,14,20,72.495
31415016,MR,CLAYTON,ON-CAMPUS,9.12,9.3,16.38,65.925
32194684,MS,CLAYTON,ON-CAMPUS,8.16,11.63,19.25,66.415
30664039,MS,CLAYTON,ON-CAMPUS,9.97,12.5,16.63,66.1
31842070,MR,CLAYTON,ON-CAMPUS,8.71,10.53,16.75,35.99
28749685,MR,CLAYTON,ON-CAMPUS,5.53,10.87,23.5,67.15
32066945,MR,CLAYTON,ON-CAMPUS,9.16,13.37,22.88,73.285
29961785,MR,CLAYTON,ON-CAMPUS,9.87,12.2,14,74.195
30812682,MS,CLAYTON,ON-CAMPUS,9.75,12.4,18.25,77.9
31033121,MR,CLAYTON,ON-CAMPUS,10,13.8,18.25,66.3
31070647,MS,CLAYTON,ON-CAMPUS,10,12.5,19.63,66.88
30804728,MS,CLAYTON,ON-CAMPUS,9.77,11.7,20.25,77.095
30819822,MR,CLAYTON,ON-CAMPUS,9.71,12.5,17,62.96
30977266,MR,CLAYTON,ON-CAMPUS,9.92,11.7,22,72.12
30105757,MR,CLAYTON,ON-CAMPUS,9.8,12.7,18.5,78.5
30426286,MR,CLAYTON,ON-CAMPUS,9.08,12.5,24.25,67.705
31206735,MS,CLAYTON,ON-CAMPUS,9.85,10.1,18.75,76.825
29982901,MS,CLAYTON,ON-CAMPUS,9.89,12.7,17.25,40
31104800,MS,CLAYTON,ON-CAMPUS,9.48,13.6,19,71.33
30895057,MS,CLAYTON,ON-CAMPUS,9.92,12.5,15.38,59.05
31922244,MR,CLAYTON,ON-CAMPUS,9.69,11.9,19.75,81.59
30865751,MS,CLAYTON,ON-CAMPUS,9.77,13.2,19.13,78.225
28476638,MS,CLAYTON,ON-CAMPUS,9.76,11.37,21.88,65.885
29424003,MR,CLAYTON,ON-CAMPUS,9.65,12.8,22.38,66.33
29629691,MR,CLAYTON,ON-CAMPUS,9.95,12.7,17,84.275
30849934,MS,CLAYTON,ON-CAMPUS,9.95,12.5,19.38,84.955
31025781,MS,CLAYTON,ON-CAMPUS,10,12.7,18.75,80.2
31323863,MR,CLAYTON,ON-CAMPUS,9.97,12.5,20.88,76.475
31357490,MR,CLAYTON,ON-CAMPUS,9.87,10.7,19,63.945
29931940,MS,CLAYTON,ON-CAMPUS,9.97,13.2,16.5,40
29224543,MS,CLAYTON,ON-CAMPUS,9.21,14.67,21.5,84.88
30376351,MS,CLAYTON,ON-CAMPUS,9.97,14,18.25,71.845
30453291,MS,CLAYTON,ON-CAMPUS,10,11.7,14.63,63.83
30960916,MR,CLAYTON,ON-CAMPUS,5.49,6.33,16.88,40.7
31005950,MS,CLAYTON,ON-CAMPUS,9.97,12.8,19,41.77
31305857,MISS,CLAYTON,ON-CAMPUS,8.88,8.4,20,72.53
31388124,MR,CLAYTON,ON-CAMPUS,9.59,11.5,17.5,69.715
31402933,MR,CLAYTON,ON-CAMPUS,8.39,12.7,15.25,75.965
31418228,MR,CLAYTON,ON-CAMPUS,9.15,11.5,18.75,75.65
31032281,MR,CLAYTON,ON-CAMPUS,10,13.2,18,75.95
31069681,MR,CLAYTON,ON-CAMPUS,9.97,13.2,16.25,72.795
31972349,MISS,CLAYTON,ON-CAMPUS,9.52,13,19.63,89.65
28233883,MS,CLAYTON,ON-CAMPUS,9.95,9.3,20.5,69.125
31071481,MR,CLAYTON,ON-CAMPUS,4.88,9.03,16.25,52.785
26740885,MR,CLAYTON,ON-CAMPUS,9.89,14.5,17.25,67.64
30080649,MS,CLAYTON,ON-CAMPUS,9.89,12.5,18.13,73.52
30422302,MS,CLAYTON,ON-CAMPUS,10,11.17,17.63,65.675
30960002,MS,CLAYTON,ON-CAMPUS,9.16,12.5,19,66.535
30702534,MR,CLAYTON,ON-CAMPUS,9.97,11.4,19.75,64.87
30007372,MS,CLAYTON,ON-CAMPUS,9.97,13.2,18.5,40
32189346,MRS,CLAYTON,ON-CAMPUS,9.95,11.07,18.88,61.025
30464463,MR,CLAYTON,ON-CAMPUS,3.97,9.53,14.25,52.25
31846564,MR,CLAYTON,ON-CAMPUS,7.83,11.6,18.5,74.305
31205259,MR,CLAYTON,ON-CAMPUS,9.95,11.37,21.88,81.825
31316786,MISS,CLAYTON,ON-CAMPUS,7.93,8.28,20.88,60.84
31867812,MR,CLAYTON,ON-CAMPUS,9.69,12,17.5,67.69
31995187,MR,CLAYTON,ON-CAMPUS,7.64,13.5,17.5,86.765
30912415,MR,CLAYTON,ON-CAMPUS,9.97,13.2,19,66.67
25951378,MR,CLAYTON,ON-CAMPUS,9.15,13.15,19.25,87.05
30078180,MR,CLAYTON,ON-CAMPUS,9.84,12.7,16.75,73.165
28545303,MS,CLAYTON,ON-CAMPUS,9.73,12.33,20,84.81
27390349,MS,CLAYTON,ON-CAMPUS,9.68,11.55,21,81.855
30168244,MR,CLAYTON,ON-CAMPUS,8.56,12.5,20.38,70.815
30221242,MS,CLAYTON,ON-CAMPUS,9.59,11.4,21,74.115
30453631,MS,CLAYTON,ON-CAMPUS,10,13.1,21.38,79.48
30483581,MS,CLAYTON,ON-CAMPUS,9.97,12.9,18.25,72.12
30666015,MS,CLAYTON,ON-CAMPUS,7.28,12,18,69.405
30773555,MS,CLAYTON,ON-CAMPUS,10,12.2,18,75.95
30822858,MR,CLAYTON,ON-CAMPUS,9.95,12.7,15.75,69.9
30859425,MR,CLAYTON,ON-CAMPUS,9.68,13.7,19.63,78.51
31014925,MR,CLAYTON,ON-CAMPUS,9.83,12.9,21.13,77.61
31055966,MR,CLAYTON,ON-CAMPUS,10,12.7,17.63,79.455
31122825,MR,CLAYTON,ON-CAMPUS,9.92,12.5,16,77.92
31168876,MR,CLAYTON,ON-CAMPUS,9.64,11.3,20,79.065
31411754,MR,CLAYTON,ON-CAMPUS,9.97,12.4,18.13,68.375
31541844,MR,CLAYTON,ON-CAMPUS,8.69,12.5,19.63,73.07
30241944,MS,CLAYTON,ON-CAMPUS,9.79,12.8,21.38,76.595
30297672,MS,CLAYTON,ON-CAMPUS,9.85,13,20,72.85
30666155,MS,CLAYTON,ON-CAMPUS,9.89,11.4,21.38,69.295
31092578,MS,CLAYTON,ON-CAMPUS,7.87,10.8,17.75,68.42
